STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/24/2001,9.4,16.1,20.6,11.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/25/2001,0,12.2,17.2,7.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/26/2001,0,11.1,15.6,6.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/27/2001,6.1,7.2,8.3,5.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/28/2001,34,9.4,12.2,6.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/29/2001,6.6,12.2,13.9,10.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/30/2001,0.3,10.6,14.4,6.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,3/31/2001,0,13.9,22.2,5.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/1/2001,0,16.7,25.6,7.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/2/2001,0.3,18.9,22.8,15
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/3/2001,0.8,25,28.3,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/4/2001,0.5,23.3,26.7,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/5/2001,0,25,29.4,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/6/2001,0,24.4,28.9,20
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/7/2001,0,23.3,28.9,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/8/2001,0,25.6,30,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/9/2001,0,25,29.4,20.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/10/2001,0,26.1,30,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/11/2001,0.5,-17.8,22.2,13.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/12/2001,33,23.3,27.8,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/13/2001,0,23.9,29.4,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/14/2001,0,25.6,30,21.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/15/2001,0.5,25,31.1,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/16/2001,0,22.2,27.8,16.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/17/2001,0,15,20,9.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/18/2001,0,13.9,21.1,6.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/19/2001,0,16.7,25,8.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/20/2001,0,21.7,27.2,15.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/21/2001,0,22.8,29.4,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/22/2001,0,24.4,26.7,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/23/2001,0.5,22.2,27.2,16.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/24/2001,0.5,17.2,23.3,10.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/25/2001,0,16.7,26.1,6.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/26/2001,0,18.3,27.8,8.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/27/2001,0,18.9,27.8,10
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/28/2001,0,20.6,28.3,12.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/29/2001,0,20,29.4,10.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,4/30/2001,0,20,28.3,11.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/1/2001,0,22.8,29.4,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/2/2001,0,25,30,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/3/2001,0,24.4,30,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/4/2001,0.3,23.9,29.4,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/5/2001,16.5,23.3,29.4,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/6/2001,11.9,23.9,30,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/7/2001,16.3,23.3,28.9,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/8/2001,0.8,22.2,28.3,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/9/2001,0,22.8,29.4,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/10/2001,0,22.8,29.4,15.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/11/2001,0,23.3,29.4,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/12/2001,0,23.3,28.9,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/13/2001,0,22.8,30,15.6
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/14/2001,0,23.9,31.1,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/15/2001,0,23.3,30.6,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/16/2001,0,23.9,30.6,17.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/17/2001,0,25.6,31.1,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/18/2001,0,25.6,31.7,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/19/2001,0,25,30.6,19.4
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/20/2001,0,27.2,32.2,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/21/2001,1,23.9,31.1,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/22/2001,0,18.3,26.7,10
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/23/2001,0,21.1,31.7,10
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/24/2001,0,23.3,30,16.1
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/25/2001,0,22.8,30,15
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/26/2001,0,22.8,26.7,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/27/2001,0,25,31.1,18.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/28/2001,18,25.6,31.7,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/29/2001,0,27.8,33.3,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/30/2001,0,28.3,33.9,22.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,5/31/2001,16,23.3,27.2,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/1/2001,0,23.9,30,17.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/2/2001,0,26.7,33.9,18.9
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/3/2001,0,28.9,33.9,23.3
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/4/2001,14,27.2,31.7,22.8
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/5/2001,33.3,23.9,25.6,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/6/2001,57.2,23.3,24.4,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/7/2001,67.6,24.4,26.1,22.2
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/8/2001,86.9,25,28.3,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/9/2001,1,26.1,30,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/10/2001,0,26.7,31.1,21.7
USW00093987,"LUFKIN ANGELINA CO AIRPORT, TX US",31.23593,-94.75468,87.1,6/11/2001,0,26.7,32.2,20.6
