pond,cycle,mean_t,sd_t,B,markov_memory,time_memory,mean_duration
5,13,2.75,3.254228019054596,0.08397882582980085,0,0.2714794542954118,2.896103896103896
5,14,3.1466666666666665,4.5963949837722655,0.1872293393174027,0,0.47981112352157745,3.1184210526315788
5,15,3.022222222222222,3.6534661940356448,0.09455863312555167,0,-0.013758653681563393,3
5,16,3.7222222222222223,8.146929296612697,0.37279051222566295,0,0.060947498621293617,3.712328767123288
5,17,3.2222222222222223,3.8480197811117947,0.08851147649464808,0,-0.10194417107925668,3.2
5,18,4.142857142857143,6.412804390465683,0.21504547492761272,0,0.07948624188682693,4.102564102564102
5,19,2.6324786324786325,4.424848118566819,0.253972863849994,0,0.07625785571821021,2.6186440677966103
5,20,2.904255319148936,3.924198840051524,0.1493666790643012,0,0.3057044735822115,2.9157894736842107
5,21,3.369565217391304,5.971944280567715,0.2785822852018715,0,0.18553210407569667,3.3440860215053765
5,22,5.90566037735849,9.683975961396222,0.24236072618609525,0,-0.13410703227423745,5.814814814814815
6,1,3.6315789473684212,6.529608676918105,0.2852058082879038,0,0.0374727860438124,3.5974025974025974
6,2,2.872093023255814,4.495217096446627,0.22031434089493293,0,-0.056682347217549944,2.8620689655172415
6,3,3.072463768115942,3.5905056197262235,0.0777493969213705,0,-0.06872967210606368,3.057142857142857
6,4,5.241379310344827,9.683247144274915,0.29762003407161725,0,0.025285049439178035,5.169491525423729
6,5,4.5813953488372094,7.297202850080018,0.22863030264718975,0,0.17097020292451653,4.681818181818182
6,6,4.044776119402985,4.894130175668683,0.09501767086807661,0,-0.17008918316936636,4.014705882352941
6,7,2.3596491228070176,2.141569984775069,-0.04844890524538223,0,-0.03231157224826932,2.347826086956522
6,8,2.5384615384615383,2.6217368810588666,0.016138011724957657,0,-0.04365749368805409,2.5543478260869565
6,9,2.872093023255814,3.7723343112654733,0.13548816815746229,0,0.21974034788372684,2.8505747126436782
6,10,3.116279069767442,3.3056764179252873,0.02949216146402965,0,-0.08684553704604472,3.0919540229885056
6,11,2.6419753086419755,2.461242785542035,-0.035415402548818406,0,-0.06505561206428508,2.768292682926829
6,12,2.5052631578947366,3.148365615209338,0.11375038636672141,0,0.004575599067172319,2.4895833333333335
6,13,3.111111111111111,5.691281139039279,0.29312145546389223,0,-0.11307116704264351,3.09375
6,14,2.5918367346938775,3.038708131277214,0.07936556891395366,0,-0.01822821728034998,2.5757575757575757
6,15,2.738095238095238,3.260272172905635,0.08705317614468498,0,0.05876267024093496,2.7411764705882353
6,16,2.679611650485437,3.128658148230705,0.07731157699398283,0,-0.10043789296035044,2.673076923076923
6,17,2.978494623655914,4.021622251691085,0.14901574453833136,0,0.050057076856427365,2.9893617021276597
6,18,3.077777777777778,5.195563746764313,0.25597709978541583,0,-0.08238773233294094,3.142857142857143
