pond,cycle,Pond_Cycle,No_Spec,Connectance,Weighted_connectance,Unique_Nodes,UniqueEdges,TotalEdges,modularity,mean_Distance,harm.centrality,betweenness,betweenness_weighted,skewness,J,mean_t,sd_t,B,markov_memory,time_memory,meanDayOnset,medDayOnset,event.rate
5,8,pond_5_cycle_8,9,0.1323529411764706,0.45588235294117646,17,36,62,0.35327783558792925,2.991115196078435,0.7530493235276031,0.47552083333333334,8.495833333333334,1.508479671164277,0.9508955663777917,3.4516129032258065,3.8097262039861834,0.04931780426074544,0,-0.022189025723238356,180.0793650793651,192,0.004780074264968853
5,9,pond_5_cycle_9,10,0.06403940886699508,0.18226600985221675,29,52,74,0.485390796201607,3.338875205254513,0.5261676332511492,0.6304091080876795,17.191137566137566,2.0672310347661704,0.9624429990099085,3.364864864864865,3.5329149915689624,0.024362929841454797,0,-0.27531331108639223,191.4,187,0.00422988399814397
5,10,pond_5_cycle_10,10,0.07407407407407407,0.20105820105820105,28,56,76,0.47022160664819945,3.908201058201067,0.5091616941509755,0.30299672892265483,8.984330484330485,2.601358106835735,0.962862914320722,2.75,3.9230090491866063,0.17578412385482797,0,0.14654228424951188,187.14285714285714,192,0.0053886934528866795
5,11,pond_5_cycle_11,10,0.07538461538461538,0.2123076923076923,26,49,69,0.39918084436042844,3.177153846153862,0.5460951204428592,0.6568666666666667,16.44333333333333,2.5921100781672255,0.9464251145113919,2.4347826086956523,2.158963945899304,-0.06004220292050219,0,-0.13190455892458905,161.85714285714286,168.5,0.0058189903180207005
5,12,pond_5_cycle_12,10,0.07275132275132275,0.24074074074074073,28,55,91,0.4257939862335467,2.8038359788359792,0.6766065735701814,0.42886286096162646,14.585470085470085,2.1082020300592808,0.9412888787129959,2.7142857142857144,4.633898560932886,0.26123635101544396,0,0.34001836195526597,165.79347826086956,178.5,0.004789503135789295
5,13,pond_5_cycle_13,9,0.05591397849462366,0.16344086021505377,31,52,76,0.5384349030470914,7.044457245263684,0.38902331333466805,0.3015159642401022,12.174712643678161,3.5320564669367593,0.9335293671295017,2.75,3.254228019054596,0.08397882582980085,0,0.2714794542954118,172.53246753246754,178,0.005350408873002515
5,14,pond_5_cycle_14,10,0.048412698412698414,0.11904761904761904,36,61,75,0.49902222222222226,4.7461111111111,0.41651159908084157,0.34340936374549813,12.432773109243698,4.161071911942285,0.9710813259875151,3.1466666666666665,4.5963949837722655,0.1872293393174027,0,0.47981112352157745,182.3815789473684,183.5,0.005049830996209048
5,15,pond_5_cycle_15,11,0.05238095238095238,0.14285714285714285,36,66,90,0.5251851851851852,4.074244142101275,0.4491517988792046,0.44096038415366146,15.4109243697479,3.618257841595011,0.9532729996637337,3.022222222222222,3.6534661940356448,0.09455863312555167,0,-0.013758653681563393,181.3186813186813,181,0.00425909144809394
5,16,pond_5_cycle_16,8,0.06403940886699508,0.17733990147783252,29,52,72,0.498070987654321,5.607040229885058,0.4563641014596949,0.48074137062232297,11.040123456790123,2.1248072084620393,0.9714767749275959,3.7222222222222223,8.146929296612697,0.37279051222566295,0,0.060947498621293617,189.27397260273972,192,0.004479191184002918
5,17,pond_5_cycle_17,10,0.0476529160739687,0.14082503556187767,38,67,99,0.5843281297826752,4.421704599336156,0.45594007624453897,0.3767957146335525,13.64039039039039,3.4605452433267576,0.9495862360191034,3.2222222222222223,3.8480197811117947,0.08851147649464808,0,-0.10194417107925668,190,183,0.003589114639791403
5,18,pond_5_cycle_18,11,0.06403940886699508,0.1896551724137931,29,52,77,0.47613425535503456,3.0079228243021374,0.5675910892289845,0.3895030234315949,12.658730158730158,2.916701193397964,0.9486704893575643,4.142857142857143,6.412804390465683,0.21504547492761272,0,0.07948624188682693,179.82051282051282,174.5,0.003587892797931463
5,19,pond_5_cycle_19,10,0.041223404255319146,0.10372340425531915,48,93,117,0.5367083059390751,5.0772754137116,0.3979110302335391,0.37530261578129,19.36285846438483,2.731171624476023,0.9797229843167448,2.6324786324786325,4.424848118566819,0.253972863849994,0,0.07625785571821021,176.26271186440678,182.5,0.003954425399111074
5,20,pond_5_cycle_20,10,0.07671957671957672,0.24867724867724866,28,58,94,0.44363965595291993,2.638536155202827,0.6744907310575655,0.676033203193697,19.702279202279204,2.239690835448273,0.9421100598226606,2.904255319148936,3.924198840051524,0.1493666790643012,0,0.3057044735822115,162.2,168,0.004176009929371435
5,21,pond_5_cycle_21,8,0.12648221343873517,0.36363636363636365,23,64,92,0.3887051039697543,2.2606060606060727,0.7461936059420482,0.34438869211596485,9.226190476190478,2.5982057163456256,0.9598351513217533,3.369565217391304,5.971944280567715,0.2785822852018715,0,0.18553210407569667,172.3763440860215,166,0.003841126379110995
5,22,pond_5_cycle_22,9,0.08947368421052632,0.2789473684210526,20,34,53,0.3974724101103595,3.392105263157884,0.6398626845470005,0.5241612803939674,9.383040935672515,1.5961738038807087,0.9496894141908898,5.90566037735849,9.683975961396222,0.24236072618609525,0,-0.13410703227423745,174.07407407407408,162.5,0.003695294686524004
5,23,pond_5_cycle_23,7,0.10526315789473684,0.2736842105263158,20,40,52,0.49630177514792895,2.7421052631578973,0.6059759440093268,0.37924489586539434,7.3011695906432745,1.9520032890941814,0.9707601883646809,5.730769230769231,19.884090975110873,0.5525433920225975,0,0.0020089295740337776,132.8679245283019,127,0.003658143751299656
5,24,pond_5_cycle_24,6,0.1380952380952381,0.4,15,29,42,0.3356009070294785,2.36111111111111,0.7382679331486262,0.40600470957613816,5.947802197802198,1.7627487762722178,0.9653606584511545,5.928571428571429,19.872020846998776,0.5404313695399147,0,-0.029190310371525068,230.09302325581396,232,0.0041080084258092306
6,1,pond_6_cycle_1,10,0.05776515151515151,0.14393939393939395,33,61,76,0.556786703601108,5.243896484374992,0.4102153700624779,0.30275642641129025,9.81572580645161,2.699076344428545,0.9774630642084636,3.6315789473684212,6.529608676918105,0.2852058082879038,0,0.0374727860438124,163.11688311688312,139,0.0035570277488185626
6,2,pond_6_cycle_2,12,0.0465587044534413,0.11605937921727395,39,69,86,0.44564629529475397,3.7793522267206154,0.4749063299707884,0.5570674552669013,25.405049786628734,2.663522785254111,0.9791770272677042,2.872093023255814,4.495217096446627,0.22031434089493293,0,-0.056682347217549944,155.42528735632183,153,0.00427424730920548
6,3,pond_6_cycle_3,11,0.06091954022988506,0.15862068965517243,30,53,69,0.47994118882587694,3.7612260536398368,0.4638386426536729,0.5304059792763717,16.514778325123153,3.2983509718724044,0.9633947131977394,3.072463768115942,3.5905056197262235,0.0777493969213705,0,-0.06872967210606368,170.61428571428573,167.5,0.004714834590331618
6,4,pond_6_cycle_4,10,0.05862068965517241,0.13333333333333333,30,51,58,0.5832342449464923,4.2743295019157355,0.4239261836480266,0.45957193816884656,13.198275862068963,2.994507045452292,0.9878642811848336,5.241379310344827,9.683247144274915,0.29762003407161725,0,0.025285049439178035,158.77966101694915,157,0.003634752916975275
6,5,pond_6_cycle_5,10,0.08441558441558442,0.18614718614718614,22,39,43,0.510275824770146,3.7448425624321398,0.40825743994746044,0.41058201058201055,8.683333333333334,3.8928379964801887,0.9881296642154719,4.5813953488372094,7.297202850080018,0.22863030264718975,0,0.17097020292451653,128.9318181818182,128,0.005079884044967884
6,6,pond_6_cycle_6,9,0.1023391812865497,0.391812865497076,19,35,67,0.3775896636221876,2.3308966861598464,0.7613634738790616,0.6210965867828613,11.179738562091503,2.139520987161416,0.8992671049632612,4.044776119402985,4.894130175668683,0.09501767086807661,0,-0.17008918316936636,169,159,0.003687178065362159
6,7,pond_6_cycle_7,10,0.0459830866807611,0.12050739957716702,44,87,114,0.4919975377039089,4.342424242424225,0.4413416585885378,0.4433835044744417,21.34108527131783,3.7624534734323833,0.963335142623265,2.3596491228070176,2.141569984775069,-0.04844890524538223,0,-0.03231157224826932,171.41739130434783,181,0.0042397644600334836
6,8,pond_6_cycle_8,10,0.0735632183908046,0.20919540229885059,30,64,91,0.5281366984663688,3.308757525998892,0.5247304537703574,0.5628928146764056,15.643883415435138,3.4400765331275776,0.9529178851596846,2.5384615384615383,2.6217368810588666,0.016138011724957657,0,-0.04365749368805409,161.1086956521739,158.5,0.00474231628960059
6,9,pond_6_cycle_9,11,0.050793650793650794,0.1365079365079365,36,64,86,0.5016224986479179,4.083968253968236,0.4896340865628064,0.5454501800720288,19.31638655462185,2.768517897746451,0.9656865134259305,2.872093023255814,3.7723343112654733,0.13548816815746229,0,0.21974034788372684,176.7816091954023,166,0.004124693665069322
6,10,pond_6_cycle_10,10,0.08547008547008547,0.245014245014245,27,60,86,0.4288804759329367,2.3594729344729286,0.6713308904257319,0.6344556213017752,18.11769230769231,2.2542623650080182,0.9621881782711422,3.116279069767442,3.3056764179252873,0.02949216146402965,0,-0.08684553704604472,180.67816091954023,181,0.004176783050521009
6,11,pond_6_cycle_11,10,0.067816091954023,0.18620689655172415,30,59,81,0.47317482091144647,3.436533902323383,0.48893138497640826,0.33934941396296925,11.731527093596059,2.5427432005987445,0.9646574003642535,2.6419753086419755,2.461242785542035,-0.035415402548818406,0,-0.06505561206428508,156.9390243902439,155.5,0.005012975852427508
6,12,pond_6_cycle_12,9,0.05476529160739687,0.13513513513513514,38,77,95,0.4632686980609418,3.995008522035547,0.46812887063193875,0.377100073046019,17.033783783783782,2.7265760975334232,0.9794606584313498,2.5052631578947366,3.148365615209338,0.11375038636672141,0,0.004575599067172319,183.01041666666666,182.5,0.004756868751684774
6,13,pond_6_cycle_13,10,0.05113636363636364,0.11931818181818182,33,54,63,0.6355505165028974,4.992265469061895,0.33424612984116453,0.22791708669354843,7.382056451612903,2.8264504637528414,0.9848326232348785,3.111111111111111,5.691281139039279,0.29312145546389223,0,-0.11307116704264351,150.171875,156.5,0.005533489353286307
6,14,pond_6_cycle_14,10,0.04993252361673414,0.13225371120107962,39,74,98,0.509579341940858,4.243025833815285,0.44916340170796826,0.3392294302612862,13.945590327169274,4.103790087463557,0.9633526557827236,2.5918367346938775,3.038708131277214,0.07936556891395366,0,-0.01822821728034998,181.2020202020202,177,0.0044077148277588294
6,15,pond_6_cycle_15,10,0.053475935828877004,0.1497326203208556,34,60,84,0.6235827664399094,4.905909586056673,0.40089756086016254,0.5042757116620753,16.641098484848484,4.5179552579409,0.9369919756689189,2.738095238095238,3.260272172905635,0.08705317614468498,0,0.05876267024093496,192.8235294117647,180,0.004468739656145953
6,16,pond_6_cycle_16,12,0.050497866287339974,0.1465149359886202,38,71,103,0.5411443114336884,3.9887683736367587,0.4690496186355294,0.5561899737575412,20.915165165165156,3.9957774509158615,0.9467434901355721,2.679611650485437,3.128658148230705,0.07731157699398283,0,-0.10043789296035044,179.02884615384616,176.5,0.003904036014393878
6,17,pond_6_cycle_17,9,0.07936507936507936,0.24603174603174602,28,60,93,0.527691062550584,2.8742283950617247,0.6066694235557973,0.3778973655516865,13.28062678062678,3.7201465860981036,0.9436169823218884,2.978494623655914,4.021622251691085,0.14901574453833136,0,0.050057076856427365,177.88297872340425,173.5,0.004216320740810155
6,18,pond_6_cycle_18,8,0.06666666666666667,0.20689655172413793,30,58,90,0.46222222222222215,3.0321360153256784,0.5793727431948283,0.4759215219976221,14.929187192118226,3.245124168048056,0.9321642372560873,3.077777777777778,5.195563746764313,0.25597709978541583,0,-0.08238773233294094,195.15384615384616,190,0.003975585286802765
6,19,pond_6_cycle_19,12,0.05060975609756098,0.14146341463414633,41,83,116,0.581450653983353,4.244261517615182,0.4271717819446107,0.5134850427350427,21.03450854700855,5.26949083374471,0.9469412888774055,2.4655172413793105,2.8875475813365843,0.07883901165671954,0,0.1060592932243108,168.6239316239316,174,0.003760944426985702
6,20,pond_6_cycle_20,10,0.043434343434343436,0.12525252525252525,45,86,124,0.4955775234131114,3.8540247715247324,0.4833513882384062,0.45987591293484525,22.271670190274836,3.241027383862902,0.9488825250894969,2.282258064516129,2.7924418427348465,0.1005347680736239,0,0.20656515122213723,183.152,178,0.003967299426089735
6,21,pond_6_cycle_21,10,0.07526881720430108,0.2645161290322581,31,70,123,0.5751206292550731,3.998234591327559,0.537253672503706,0.49257982120051075,15.963218390804597,5.160595629430924,0.8790993277934586,2.796747967479675,3.2465854688350273,0.07443532714118596,0,0.07536922765666886,175.8951612903226,176,0.0032359591531459166
